adress,amount
0x2101e07af6a8e89356d293f800a9b01dc8c83078,21.25
0x7c482d493ce05e7365b49fbe84d8860b0efb8986,21.25
0x7cea6612d62d82f9558355133e9a648f09234d1c,63.75
0x436c0eae82e20247f0a695f3eb18e5431e161d86,21.25
0x9ae617d97140b4f1d29b064938c35c6dd71e17ca,42.5
0x1b543769aa5dcd3f34542482e1b310609498c598,42.5
0x44e890bf6eb2a59ca2ae38242361ead256e382b2,21.25
0xf38f0951297b824706d40b20c1984b0198749707,42.5
0x6f02c10332daf3a3f785f5a04e8dce167ecb0053,21.25
0x29c71213f70dbafd76f0c256439c68becac14a66,63.75
0x5a4b4744cb71b10e101934777d1bf6ef164d6605,42.5
0x73084e4338a64d73180d039fae40a0e92b105f35,21.25
0x8b190a162e643760d91a02fb35dcec858c4e51dc,21.25
0x6169ae7075c96a59533318c91b67009450e4a7f8,63.75
0x7b018be8be9aff05d350fa0fad3a1b00daefe2ae,21.25
0x62a1d1c6917f7758990e9a77c23228f821c2efbf,42.5
0x9b11b5620a904b00cfbe8cf039e8606e5b3d7ddf,21.25
0xe84518e374eb0c73be6aa7c69643b64ca0805e95,63.75
0xaf2d1d9527f8d9d428160b41b8e1ea0e7cc2570d,23.75
0x56db32b4cab162aabd057a852ba616b017a79790,63.75
0xbf81515e30fad7f423f15630d1d45df935718e2c,21.25
0x670cb0e83f503770abc4595f28818fd582d9b073,21.25
0x390c6a2157358890377066da91804a3774cb2fcd,21.25
0x580f2e2f5596379a55e36681ae33cbecf1683fc1,21.25
0xa59f3d676c03429494f652bb51d9d546272c3976,63.75
0x55cd987a00536fae8e1f3effc2a6ce874393e6e1,21.25
0x5430a519ebeaba6da317cdf3d995aa5df06e436c,21.25
0x0a9aa9394400ddda0060c98b69dcb00001a89469,21.25
0x9defd8c7eeb4ae9e307edf37955ee1c9e849ad96,21.25
0xa1e93399a20e41b623b39cde0ed008e2714e8065,42.5
0xca818fff663e3623033cfb0c4d2fa47869bd7c2e,63.75
0x2aacd59b6721c6873129976a2b45aa32b161bbdd,63.75
0x5423c38c544104ae3d44d355de685b6865db57a0,21.25
0x6ecd550b3ac71afdaf7dbe94f6337227ce65dca8,21.25
0x7b11897546936824ce912cc6002129c8137f1b43,21.25
0x218765d8e195f455c120b9d572b23c415351b314,21.25
0x457afe461f68b2a6b315ae5dc26a0b70cc9c0e83,42.5
0xbf747c64fbe3f23e66704a0a89300ff3220822ff,21.25
0x0d8eebd761e815b37a61d91ab02f7842be970239,63.75
0xfc0fffdd6bcb0980e545c3969050ff0c294cca40,21.25
0xbb4c38b98fdb47ae972f271ef58eec3b4a3ce63e,21.25
0xe452b6b42df7cac9415df4ea4adee5f0c05104c2,42.5
0x677029e369dfb8fc1474810f20fffc43c49fabf5,21.25
0xb9b4000ee85a400f561520d0423aade349460272,21.25
0x438803eb5d199c283aadab6d0db8cd3968fbf6ad,42.5
0x1e0b4ba7cb73c4ce2dcdabf3cf77ff55786f8846,21.25
0x59e45131e64bf57e71fe8c86421664337f28e9ab,21.25
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,21.25
0xb764113ac0c2d8e1a99bb2a69149503d9bf4f614,21.25
0x024df6f6965293325e6d8be2d07e8187c4a25660,42.5
0x1d0ef5158ea4914ebf909b53dceacd3dde8476c1,63.75
0xc5afa6a17fb1650256efb8d75bcd02b8f10aa26c,21.25
0x192513387b1bc31597ebf9f858e19bcb410ead6b,21.25
0x3090b15078ae316befedd304bd38413e26cb6d88,21.25
0x48b23db3dfe3d2f8f0f741ec53374cb4b2af6483,42.5
0x2c11464dca0149a64516dc1986d1c4a2058782e5,63.75
0x220644283403e90109840b548b784f4b6ff398eb,21.25
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,21.25
0x10c9245ec82ddd9a02afbf59a687dc0208e333b7,63.75
0x313cd53dc42788cbd1c6dd73c8bce7697b2cb1d7,63.75
0x91504b7d1ac318d976bdb7d3da094b8fa0304eee,63.75
0x9fdb882e9ca4d77c41b66ec41eea2f7199b43929,42.5
0xc77deead52f8f8596217bdfd0f381b96b0c7c710,63.75
0xae654153b09c50408b91a620a3ac74cd878adfea,21.25
0xa6d748885b57cd841a8cf9cbf00144954bcbbd35,21.25
0x92a4491f7dcb43d1eba0db4f9358dcdd903157ee,63.75
0x8c67d1e6fdda4b572b82a2aef6c37ffcaa27c168,21.25
0x4370139729f8454525d73a492a4142e642f060f1,42.5
0x492f1e6e1c2df0a81d34722fc217df5590059a70,63.75
0xfa4e7035b34294407e5df1603215983d65e5a773,63.75
0x2de242182e99ae4f26064165452c29df026e4c6c,42.5
0x09cb2941c3e2417ea702c13194cfd6d19f72fdba,21.25
0x7a58d5fabc1b5397e4956011218f0de9d39385f6,63.75
0xa3c4c6cdc1b39afa79003beb4deaf69693678038,21.25
0x1ffcd7c539dd7ca862e12e6ca1f4e5cdd7f7c944,63.75